id_eggnog,id_string_HS,id_string_MM,id_string_DM,HS_up,MM_up,DM_up,HS_down,MM_down,DM_down,id_gene_HS,gene_HS,biotype_HS,n_genes_HS,id_gene_MM,gene_MM,biotype_MM,n_genes_MM,id_gene_DM,gene_DM,biotype_DM,n_genes_DM,annotation
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",False,True,"False,True,True",True,True,"True,False,False",ENSG00000148175,STOM,protein_coding,1,ENSMUSG00000026880,Stom,protein_coding,1,"FBgn0030993,FBgn0250821,FBgn0037986","Mec2,CG14644,CG14736","protein_coding,protein_coding,protein_coding",3,regulation of acid-sensing ion channel activity
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,7227.FBpp0080603,False,True,True,True,True,False,ENSG00000097046,CDC7,protein_coding,1,ENSMUSG00000029283,Cdc7,protein_coding,1,FBgn0032677,CG5790,protein_coding,1,double-strand break repair via break-induced replication
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,7227.FBpp0085338,False,False,True,True,True,False,ENSG00000130204,TOMM40,protein_coding,1,ENSMUSG00000005674,Tomm40l,protein_coding,1,FBgn0033074,tomboy40,protein_coding,1,protein import into mitochondrial matrix
3B97M,9606.ENSP00000382269,10090.ENSMUSP00000136449,7227.FBpp0079663,False,False,True,True,True,False,ENSG00000092148,HECTD1,protein_coding,1,ENSMUSG00000035247,Hectd1,protein_coding,1,FBgn0032208,Ufd4,protein_coding,1,E3 ubiquitin-protein ligase
3B9G2,9606.ENSP00000263955,10090.ENSMUSP00000027263,7227.FBpp0073356,False,True,False,True,False,True,ENSG00000081320,STK17B,protein_coding,1,ENSMUSG00000026094,Stk17b,protein_coding,1,FBgn0052666,Drak,protein_coding,1,positive regulation of fibroblast apoptotic process
3B9GR,9606.ENSP00000274979,10090.ENSMUSP00000046884,7227.FBpp0291654,False,True,False,True,True,True,ENSG00000146205,ANO7,protein_coding,1,ENSMUSG00000055489,Ano5,protein_coding,1,FBgn0038721,subdued,protein_coding,1,intracellular chloride channel activity
3B9HR,"9606.ENSP00000303634,9606.ENSP00000367888",10090.ENSMUSP00000034713,7227.FBpp0291363,"False,False",False,True,"True,True",True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding",2,ENSMUSG00000032193,Ldlr,protein_coding,1,FBgn0261260,mgl,protein_coding,1,lipoprotein receptor-related protein
3B9HX,9606.ENSP00000419751,10090.ENSMUSP00000029131,"7227.FBpp0074110,7227.FBpp0074393",True,True,"True,False",False,False,"True,True",ENSG00000100121,GGTLC2,protein_coding,1,ENSMUSG00000027603,Ggt7,protein_coding,1,"FBgn0030796,FBgn0030932","CG4829,Ggt-1","protein_coding,protein_coding",2,glutathione hydrolase activity
3B9J2,9606.ENSP00000229795,10090.ENSMUSP00000086204,7227.FBpp0080111,False,False,False,True,True,True,ENSG00000112062,MAPK14,protein_coding,1,ENSMUSG00000053137,Mapk11,protein_coding,1,FBgn0024846,p38b,protein_coding,1,MAP kinase activity
3B9JD,9606.ENSP00000370517,"10090.ENSMUSP00000059801,10090.ENSMUSP00000117030",7227.FBpp0087506,True,"True,True",True,False,"False,False",False,ENSG00000067057,PFKP,protein_coding,1,"ENSMUSG00000033065,ENSMUSG00000021196","Pfkm,Pfkp","protein_coding,protein_coding",2,FBgn0003071,Pfk,protein_coding,1,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis"
